Artist,Title,id,energy,key,acousticness,instrumentalness,liveness,tempo,type,uri,track_href,analysis_url,duration_ms
Bad Bunny,Where She Goes,4tYtBjOaTpnOPoLF1zsAzR,0.317,10,0.605,0.861,0.101,78.642,audio_features,spotify:track:4tYtBjOaTpnOPoLF1zsAzR,https://api.spotify.com/v1/tracks/4tYtBjOaTpnOPoLF1zsAzR,https://api.spotify.com/v1/audio-analysis/4tYtBjOaTpnOPoLF1zsAzR,88291
Post Malone,Chemical,5Gcd6lMtEEW6V9GpmQk6Rk,0.226,3,0.831,0.0,0.117,125.704,audio_features,spotify:track:5Gcd6lMtEEW6V9GpmQk6Rk,https://api.spotify.com/v1/tracks/5Gcd6lMtEEW6V9GpmQk6Rk,https://api.spotify.com/v1/audio-analysis/5Gcd6lMtEEW6V9GpmQk6Rk,187830
Latto Featuring Cardi B,Put It On Da Floor Again,6c6WmIHcHlhccEwSFBhzNa,0.614,1,0.0282,0.0,0.0603,111.363,audio_features,spotify:track:6c6WmIHcHlhccEwSFBhzNa,https://api.spotify.com/v1/tracks/6c6WmIHcHlhccEwSFBhzNa,https://api.spotify.com/v1/audio-analysis/6c6WmIHcHlhccEwSFBhzNa,185748
Fuerza Regida,Sabor Fresa,1UMm1Qs3u59Wvk53zBUE8r,0.863,7,0.0883,0.0,0.0929,130.132,audio_features,spotify:track:1UMm1Qs3u59Wvk53zBUE8r,https://api.spotify.com/v1/tracks/1UMm1Qs3u59Wvk53zBUE8r,https://api.spotify.com/v1/audio-analysis/1UMm1Qs3u59Wvk53zBUE8r,156501
Peso Pluma & Grupo Frontera,Tulum,4vKApRsWLo6VFEdT6WNLze,0.866,6,0.394,0.0,0.11,167.767,audio_features,spotify:track:4vKApRsWLo6VFEdT6WNLze,https://api.spotify.com/v1/tracks/4vKApRsWLo6VFEdT6WNLze,https://api.spotify.com/v1/audio-analysis/4vKApRsWLo6VFEdT6WNLze,209415
PinkPantheress & Ice Spice,"Boy's A Liar, Pt. 2",6AQbmUe0Qwf5PZnt4HmTXv,0.809,5,0.252,0.000128,0.248,132.962,audio_features,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/tracks/6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/audio-analysis/6AQbmUe0Qwf5PZnt4HmTXv,131013
Kane Brown,Bury Me In Georgia,2mltIbKkhQqyh8gCzaqxqA,0.816,2,0.0169,0.0,0.0893,160.001,audio_features,spotify:track:2mltIbKkhQqyh8gCzaqxqA,https://api.spotify.com/v1/tracks/2mltIbKkhQqyh8gCzaqxqA,https://api.spotify.com/v1/audio-analysis/2mltIbKkhQqyh8gCzaqxqA,170683
Kaliii,Area Codes,50mosUhGLjNrWcZEjLsFBa,0.388,1,0.0187,0.0,0.0876,154.569,audio_features,spotify:track:50mosUhGLjNrWcZEjLsFBa,https://api.spotify.com/v1/tracks/50mosUhGLjNrWcZEjLsFBa,https://api.spotify.com/v1/audio-analysis/50mosUhGLjNrWcZEjLsFBa,139326
Luke Combs,Love You Anyway,2kYevr8cbIAH2ha8210Bnz,0.489,4,0.149,0.0,0.237,139.807,audio_features,spotify:track:2kYevr8cbIAH2ha8210Bnz,https://api.spotify.com/v1/tracks/2kYevr8cbIAH2ha8210Bnz,https://api.spotify.com/v1/audio-analysis/2kYevr8cbIAH2ha8210Bnz,229627
"Peso Pluma, Gabito Ballesteros & Junior H",Lady Gaga,2VzCjpKvPB1l1tqLndtAQa,0.595,0,0.31,2.44e-05,0.0735,92.491,audio_features,spotify:track:2VzCjpKvPB1l1tqLndtAQa,https://api.spotify.com/v1/tracks/2VzCjpKvPB1l1tqLndtAQa,https://api.spotify.com/v1/audio-analysis/2VzCjpKvPB1l1tqLndtAQa,239845
