Artist,Title,id,energy,key,acousticness,instrumentalness,liveness,tempo,type,uri,track_href,analysis_url,duration_ms,set,K12,DBSCAN2.5
Jess Glynne ,Ain't Got Far To Go,6YOM2xqlJEdy35htURX7DS,0.602,1.0,0.0588,0.0326,0.0649,82.85,audio_features,spotify:track:6YOM2xqlJEdy35htURX7DS,https://api.spotify.com/v1/tracks/6YOM2xqlJEdy35htURX7DS,https://api.spotify.com/v1/audio-analysis/6YOM2xqlJEdy35htURX7DS,272933.0,N,1,0
KYLE ,Babies,08gavXombT6KR0af88i9tA,0.687,2.0,0.111,0.0,0.0693,79.991,audio_features,spotify:track:08gavXombT6KR0af88i9tA,https://api.spotify.com/v1/tracks/08gavXombT6KR0af88i9tA,https://api.spotify.com/v1/audio-analysis/08gavXombT6KR0af88i9tA,237067.0,N,1,0
Niall Horan ,Heartbreak Weather,7vnduExBxhrdinbMKT51A5,0.821,5.0,0.057,0.0,0.0862,93.003,audio_features,spotify:track:7vnduExBxhrdinbMKT51A5,https://api.spotify.com/v1/tracks/7vnduExBxhrdinbMKT51A5,https://api.spotify.com/v1/audio-analysis/7vnduExBxhrdinbMKT51A5,219867.0,N,4,0
Kanye West ,On God,5rUnVp421e5jmCgWKntHjP,0.677,2.0,0.214,0.0,0.0979,100.014,audio_features,spotify:track:5rUnVp421e5jmCgWKntHjP,https://api.spotify.com/v1/tracks/5rUnVp421e5jmCgWKntHjP,https://api.spotify.com/v1/audio-analysis/5rUnVp421e5jmCgWKntHjP,178242.0,N,1,0
Ivan Cornejo ,La Curiosidad,5jhBwnqzNNrENXnYrAdoCe,0.155,7.0,0.928,0.176,0.0888,65.136,audio_features,spotify:track:5jhBwnqzNNrENXnYrAdoCe,https://api.spotify.com/v1/tracks/5jhBwnqzNNrENXnYrAdoCe,https://api.spotify.com/v1/audio-analysis/5jhBwnqzNNrENXnYrAdoCe,206623.0,N,3,0
ZAYN ,TiO,7zxRMhXxJMQCeDDg0rKAVo,0.715,0.0,0.101,0.0,0.0919,154.962,audio_features,spotify:track:7zxRMhXxJMQCeDDg0rKAVo,https://api.spotify.com/v1/tracks/7zxRMhXxJMQCeDDg0rKAVo,https://api.spotify.com/v1/audio-analysis/7zxRMhXxJMQCeDDg0rKAVo,179773.0,N,7,0
YoungBoy Never Broke Again ,Bad Morning,5XbA7TAqsD0fj0dGBrbb0D,0.848,9.0,0.103,0.0,0.299,109.946,audio_features,spotify:track:5XbA7TAqsD0fj0dGBrbb0D,https://api.spotify.com/v1/tracks/5XbA7TAqsD0fj0dGBrbb0D,https://api.spotify.com/v1/audio-analysis/5XbA7TAqsD0fj0dGBrbb0D,263642.0,N,4,0
Childish Gambino ,12.38,5wG3HvLhF6Y5KTGlK0IW3J,0.549,1.0,0.18,0.0,0.168,119.497,audio_features,spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,https://api.spotify.com/v1/tracks/5wG3HvLhF6Y5KTGlK0IW3J,https://api.spotify.com/v1/audio-analysis/5wG3HvLhF6Y5KTGlK0IW3J,194787.0,N,1,0
D'Angelo ,Prayer,77ojQtBNv5ZzymQXOSWhti,0.401,4.0,0.86,0.0,0.299,100.126,audio_features,spotify:track:77ojQtBNv5ZzymQXOSWhti,https://api.spotify.com/v1/tracks/77ojQtBNv5ZzymQXOSWhti,https://api.spotify.com/v1/audio-analysis/77ojQtBNv5ZzymQXOSWhti,232627.0,N,3,0
Taylor Swift ,Jump Then Fall (Taylor’s Version),1N8TTK1Uoy7UvQNUazfUt5,0.785,8.0,0.0464,0.0216,0.111,94.094,audio_features,spotify:track:1N8TTK1Uoy7UvQNUazfUt5,https://api.spotify.com/v1/tracks/1N8TTK1Uoy7UvQNUazfUt5,https://api.spotify.com/v1/audio-analysis/1N8TTK1Uoy7UvQNUazfUt5,147875.0,N,4,0
Maroon 5 ,One More Night,6OklSp2KgnW8RWNdQ7n8o1,0.591,2.0,0.295,0.00918,0.289,98.976,audio_features,spotify:track:6OklSp2KgnW8RWNdQ7n8o1,https://api.spotify.com/v1/tracks/6OklSp2KgnW8RWNdQ7n8o1,https://api.spotify.com/v1/audio-analysis/6OklSp2KgnW8RWNdQ7n8o1,141012.0,N,1,0
Bazzi ,Beautiful,7LJZyNjN5U0LdYSBQ9hlLz,0.572,0.0,0.11,0.0,0.183,117.336,audio_features,spotify:track:7LJZyNjN5U0LdYSBQ9hlLz,https://api.spotify.com/v1/tracks/7LJZyNjN5U0LdYSBQ9hlLz,https://api.spotify.com/v1/audio-analysis/7LJZyNjN5U0LdYSBQ9hlLz,188293.0,N,1,0
Billie Eilish ,Everybody Dies,3iut542DAj1c44VzyA6CpN,0.59,9.0,0.55,4.22e-05,0.306,76.035,audio_features,spotify:track:3iut542DAj1c44VzyA6CpN,https://api.spotify.com/v1/tracks/3iut542DAj1c44VzyA6CpN,https://api.spotify.com/v1/audio-analysis/3iut542DAj1c44VzyA6CpN,112067.0,N,2,0
NAV ,EAT,6N8UGibQxm2Fb5YkJ01EEQ,0.67,10.0,0.185,0.0,0.114,130.034,audio_features,spotify:track:6N8UGibQxm2Fb5YkJ01EEQ,https://api.spotify.com/v1/tracks/6N8UGibQxm2Fb5YkJ01EEQ,https://api.spotify.com/v1/audio-analysis/6N8UGibQxm2Fb5YkJ01EEQ,169999.0,N,0,0
The Weeknd ,I Heard You’re Married,39vHJNcG4qQ0Skv82Xbeyo,0.917,9.0,0.594,0.341,0.93,79.176,audio_features,spotify:track:39vHJNcG4qQ0Skv82Xbeyo,https://api.spotify.com/v1/tracks/39vHJNcG4qQ0Skv82Xbeyo,https://api.spotify.com/v1/audio-analysis/39vHJNcG4qQ0Skv82Xbeyo,156250.0,N,6,-1
Metro Boomin ,Trance,3IpOgKkvF7z0SZ9TaPovTy,0.502,5.0,0.387,0.0,0.184,169.719,audio_features,spotify:track:3IpOgKkvF7z0SZ9TaPovTy,https://api.spotify.com/v1/tracks/3IpOgKkvF7z0SZ9TaPovTy,https://api.spotify.com/v1/audio-analysis/3IpOgKkvF7z0SZ9TaPovTy,290000.0,N,10,0
Justin Bieber ,Love Yourself,0wyja8xD9cNhDtfuY0dVMP,0.587,4.0,0.00662,0.0,0.14,148.044,audio_features,spotify:track:0wyja8xD9cNhDtfuY0dVMP,https://api.spotify.com/v1/tracks/0wyja8xD9cNhDtfuY0dVMP,https://api.spotify.com/v1/audio-analysis/0wyja8xD9cNhDtfuY0dVMP,195667.0,N,7,0
ThxSoMch ,SPIT IN MY FACE!,4HEOgBHRCExyYVeTyrXsnL,0.339,8.0,0.727,0.0,0.0977,174.609,audio_features,spotify:track:4HEOgBHRCExyYVeTyrXsnL,https://api.spotify.com/v1/tracks/4HEOgBHRCExyYVeTyrXsnL,https://api.spotify.com/v1/audio-analysis/4HEOgBHRCExyYVeTyrXsnL,120693.0,N,9,0
Dominic Fike ,3 Nights,4hWgC5BV5M7EtTleKVXNxw,0.413,11.0,0.7,0.0,0.14,115.893,audio_features,spotify:track:4hWgC5BV5M7EtTleKVXNxw,https://api.spotify.com/v1/tracks/4hWgC5BV5M7EtTleKVXNxw,https://api.spotify.com/v1/audio-analysis/4hWgC5BV5M7EtTleKVXNxw,143667.0,N,9,0
Bryson Tiller ,Blame,3yjpv3Rk2gkHhfhgBjiUKS,0.355,8.0,0.16,0.000329,0.094,120.042,audio_features,spotify:track:3yjpv3Rk2gkHhfhgBjiUKS,https://api.spotify.com/v1/tracks/3yjpv3Rk2gkHhfhgBjiUKS,https://api.spotify.com/v1/audio-analysis/3yjpv3Rk2gkHhfhgBjiUKS,105131.0,N,2,0
Earl Sweatshirt ,Huey,0NA5xAtDra50d0Lfs2uvoh,0.594,11.0,0.44,0.0,0.185,129.216,audio_features,spotify:track:0NA5xAtDra50d0Lfs2uvoh,https://api.spotify.com/v1/tracks/0NA5xAtDra50d0Lfs2uvoh,https://api.spotify.com/v1/audio-analysis/0NA5xAtDra50d0Lfs2uvoh,230240.0,N,9,0
Juice WRLD ,Armed And Dangerous,2s0Dn2mtvp94wUkyaB8nJc,0.632,0.0,0.469,0.0,0.0391,102.074,audio_features,spotify:track:2s0Dn2mtvp94wUkyaB8nJc,https://api.spotify.com/v1/tracks/2s0Dn2mtvp94wUkyaB8nJc,https://api.spotify.com/v1/audio-analysis/2s0Dn2mtvp94wUkyaB8nJc,212267.0,N,1,0
Lana Del Rey ,Yosemite,0baNzeUcPQnQSagpe8T0mD,0.387,7.0,0.964,0.705,0.208,146.565,audio_features,spotify:track:0baNzeUcPQnQSagpe8T0mD,https://api.spotify.com/v1/tracks/0baNzeUcPQnQSagpe8T0mD,https://api.spotify.com/v1/audio-analysis/0baNzeUcPQnQSagpe8T0mD,126312.0,N,11,1
j,hope  STOP,5iC6QlM0vDXMW8GBUPSbkn,0.63,7.0,0.0467,3.06e-05,0.223,113.967,audio_features,spotify:track:5iC6QlM0vDXMW8GBUPSbkn,https://api.spotify.com/v1/tracks/5iC6QlM0vDXMW8GBUPSbkn,https://api.spotify.com/v1/audio-analysis/5iC6QlM0vDXMW8GBUPSbkn,175373.0,N,4,0
